CourseCode,CourseName,Department,Duration,BlockType,Credits,GradeLevels,Prerequisites,IsAdvanced,Description,PeriodsRequired,WorkloadLevel
05273,"Agribusiness, Economics, Marketing and SAE Development",Agriscience,Full Year,Block,0.5,"11,12","05031S,05121S,05091S,05151,05215,05212,05061",false,"Students will apply the skills and knowledge necessary for agribusiness careers. Units include careers, marketing of agricultural commodities, and agriculture record analysis. Students will implement leadership and teamwork skills to address the business and marketing issues found in a global economy. Students will utilize agribusiness apps to develop and manage real-life projects. Activities in this course will teach problem-solving, researching, data collection and analysis, team building, time management and meeting deadlines as students manage and market the school farm and greenhouse crops, maintain financial records and develop marketing plans.",1,3
05243,"Agriculture Systems, Technology and SAE Development",Agriscience,Full Year,Block,0.5,"11,12","05031S,05121S,05091S,05151,05215,05212,05061",false,"Students explore careers in the agricultural mechanics & engineering areas and perform basic skills related to farm machinery and structures at the school farm. Precision farming using GPS technology, conservation tillage and biomass energy systems are emphasized. Students will implement leadership and team building skills as they prepare for Field Day and other community presentations. Math and science skills are applied as students calibrate equipment, interpret GPS data and make improvements on the agriculture equipment and facilities used in the agriculture classrooms. Students will learn problem-solving, researching, data collection and analysis, and team building skills needed in real life application and post-secondary education.",1,3
05031S,Natural Resource Conservation (Skinny),Agriscience,Full Year,Skinny,0.5,"9,10,11,12",,false,"Students will investigate and apply the skills and knowledge needed to conserve and manage the natural resources. Units include career opportunities, resource management and sustainable resource practices. Students will implement leadership and teamwork skills to address natural resource issues. Students will participate in individual and group projects with composting, aquaculture, resource testing and management of the outdoor classrooms. Students will apply math and science skills in this hands-on course.",1,3
05121S,TC Greenhouse Management (Skinny),Agriscience,Full Year,Skinny,0.5,"9,10,11,12",,false,"Students will apply the principles of plant growth and marketing to the greenhouse production of bedding plants, vegetables and flowering plant production. Students will apply math and science skills with labs emphasizing the cultural requirements for healthy production and the structural management of the greenhouse environment as a retail business. Activities in this course will teach problem-solving, researching, data collection and analysis, team building, time management, meeting deadlines and a higher level of thinking and learning. These activities will also prepare students for the rigor of two or four-year colleges. This is a semester 2 course.",1,3
05091S,TC Greenhouse Production (Skinny),Agriscience,Full Year,Skinny,0.5,"9,10,11,12",,false,"Students will apply the principles of plant science and propagation to the greenhouse production of houseplants, cut flowers, and potted plants. Students will apply math and science skills as they monitor and produce commercial quantities of potted plants thru asexual propagation methods and adjust environmental controls to maximize production in the greenhouse and hydroponic systems. Activities in this course will teach problem-solving, researching, data collection and analysis, team building, time management, meeting deadlines and a higher level of thinking and learning. These activities will also prepare students for the rigor of two or four-year colleges. This is a semester 1 course.",1,3
05151,TC Landscape and Floriculture,Agriscience,Full Year,Block,0.5,"9,10,11,12",,true,"Students will investigate and apply the necessary skills and knowledge for careers in the landscaping, turf, and greenhouse plant production areas. Units include landscape design, installation and maintenance, turf selection and care, and nursery stock production. Through landscape design calculations, fertilizer application and calibrations, students will apply math and science skills in this hands-on course. Activities in this course will teach problem-solving, researching, data collection and analysis, team building, time management, and meeting deadlines as students design, install and maintain landscaped areas on the school district land.",1,5
05215,Veterinary Study - Large Animal,Agriscience,Full Year,Block,0.5,"10,11,12",,false,"Students will investigate and apply the knowledge and skills necessary for careers in animal health care and veterinary medicine. Units include anatomy and physiology, genetics, disease and health care. Students will implement leadership and team building skills to address animal use ethical issues. Through individual and group animal health care projects, students will apply math and science skills in this hands-on course. Activities in this course emphasize problem- solving, animal handling and restraint, treatments and veterinary office practices.",1,3
05212,Veterinary Study - Small Animal,Agriscience,Full Year,Block,0.5,"10,11,12",,false,"Students will investigate and apply the skills and knowledge necessary for the production and care of horses, companion animals, and animals used in other agricultural areas. Units include selection, nutrition, equipment, facilities and career opportunities. Students will implement leadership and team building skills to address animal care issues. Through individual and group projects with different species of animals, students will apply math and science skills in this hands-on course. This course emphasizes problem-solving, research, data collection and analysis, & team building.",1,3
05061,Wildlife and Forest Management,Agriscience,Full Year,Block,0.5,"10,11,12",,false,"Students will investigate and apply the skills and knowledge needed to manage the wildlife and forest natural resources. Units include career opportunities, wildlife management, field techniques, forest measurement and management, soil survey and mapping. Students will implement leadership and teamwork skills to address wildlife and forest management issues. Managing the school district’s nature areas and developing a comprehensive management plan will apply math and science skills in this hands-on course. Activities in this course teach problem solving, data analysis, team building and communication skills necessary for real world application and post-secondary education.",1,3
70279S,Aviation Exploration (Skinny),Aviation,Full Year,Skinny,1,"9,10,11,12",,false,"This course will provide the foundation for advanced exploration in the areas of flying and unmanned aircraft systems. Students will learn about engineering practices, problem-solving, and the innovations and technological developments that have made today’s aviation and aerospace industries possible. Students will also learn about the wide variety of exciting and rewarding careers available to them. The course will inspire students to consider aviation and aerospace careers while laying the foundation for continued study in future courses.",1,3
